date,home_team,away_team,home_abbr,away_abbr,arena,home_score,away_score
2024-01-01,New York Knicks,Minnesota Timberwolves,NYK,MIN,Madison Square Garden,112,106
2024-01-01,Toronto Raptors,Cleveland Cavaliers,TOR,CLE,Scotiabank Arena,124,121
2024-01-01,Houston Rockets,Detroit Pistons,HOU,DET,Toyota Center,136,113
2024-01-01,Milwaukee Bucks,Indiana Pacers,MIL,IND,Fiserv Forum,113,122
2024-01-01,Denver Nuggets,Charlotte Hornets,DEN,CHA,Ball Arena,111,93
2024-01-01,Phoenix Suns,Portland Trail Blazers,PHX,POR,Footprint Center,109,88
2024-01-01,Utah Jazz,Dallas Mavericks,UTA,DAL,Delta Center,127,90
2024-01-01,LA Clippers,Miami Heat,LAC,MIA,Crypto.com Arena,121,104
2024-01-02,Philadelphia 76ers,Chicago Bulls,PHI,CHI,Wells Fargo Center,110,97
2024-01-02,Memphis Grizzlies,San Antonio Spurs,MEM,SAS,FedExForum,106,98
2024-01-02,New Orleans Pelicans,Brooklyn Nets,NOP,BKN,Smoothie King Center,112,85
2024-01-02,Oklahoma City Thunder,Boston Celtics,OKC,BOS,Paycom Center,127,123
2024-01-02,Golden State Warriors,Orlando Magic,GSW,ORL,Chase Center,121,115
2024-01-02,Sacramento Kings,Charlotte Hornets,SAC,CHA,Golden 1 Center,104,111
2024-01-03,Cleveland Cavaliers,Washington Wizards,CLE,WAS,Rocket Mortgage FieldHouse,140,101
2024-01-03,Indiana Pacers,Milwaukee Bucks,IND,MIL,Gainbridge Fieldhouse,142,130
2024-01-03,Atlanta Hawks,Oklahoma City Thunder,ATL,OKC,State Farm Arena,141,138
2024-01-03,Houston Rockets,Brooklyn Nets,HOU,BKN,Toyota Center,112,101
2024-01-03,Memphis Grizzlies,Toronto Raptors,MEM,TOR,FedExForum,111,116
2024-01-03,Minnesota Timberwolves,New Orleans Pelicans,MIN,NOP,Target Center,106,117
2024-01-03,New York Knicks,Chicago Bulls,NYK,CHI,Madison Square Garden,116,100
