date,home_team,away_team,home_abbr,away_abbr,arena,home_score,away_score
2024-01-03,Dallas Mavericks,Portland Trail Blazers,DAL,POR,American Airlines Center,126,97
2024-01-03,Phoenix Suns,LA Clippers,PHX,LAC,Footprint Center,122,131
2024-01-03,Utah Jazz,Detroit Pistons,UTA,DET,Delta Center,154,148
2024-01-03,Los Angeles Lakers,Miami Heat,LAL,MIA,Crypto.com Arena,96,110
2024-01-03,Sacramento Kings,Orlando Magic,SAC,ORL,Golden 1 Center,138,135
2024-01-04,San Antonio Spurs,Milwaukee Bucks,SAS,MIL,Frost Bank Center,121,125
2024-01-04,Golden State Warriors,Denver Nuggets,GSW,DEN,Chase Center,127,130
2024-01-05,Boston Celtics,Utah Jazz,BOS,UTA,TD Garden,126,97
2024-01-05,Indiana Pacers,Atlanta Hawks,IND,ATL,Gainbridge Fieldhouse,150,116
2024-01-05,Brooklyn Nets,Oklahoma City Thunder,BKN,OKC,Barclays Center,124,115
2024-01-05,Cleveland Cavaliers,Washington Wizards,CLE,WAS,Rocket Mortgage FieldHouse,114,90
2024-01-05,Philadelphia 76ers,New York Knicks,PHI,NYK,Wells Fargo Center,92,128
2024-01-05,Chicago Bulls,Charlotte Hornets,CHI,CHA,United Center,104,91
2024-01-05,Houston Rockets,Minnesota Timberwolves,HOU,MIN,Toyota Center,95,122
2024-01-05,New Orleans Pelicans,LA Clippers,NOP,LAC,Smoothie King Center,95,111
2024-01-05,Dallas Mavericks,Portland Trail Blazers,DAL,POR,American Airlines Center,139,103
2024-01-05,Denver Nuggets,Orlando Magic,DEN,ORL,Ball Arena,120,122
2024-01-05,Phoenix Suns,Miami Heat,PHX,MIA,Footprint Center,113,97
2024-01-05,Golden State Warriors,Detroit Pistons,GSW,DET,Chase Center,113,109
2024-01-05,Los Angeles Lakers,Memphis Grizzlies,LAL,MEM,Crypto.com Arena,113,127
2024-01-05,Sacramento Kings,Toronto Raptors,SAC,TOR,Golden 1 Center,135,130
2024-01-06,Indiana Pacers,Boston Celtics,IND,BOS,Gainbridge Fieldhouse,101,118
2024-01-06,Washington Wizards,New York Knicks,WAS,NYK,Capital One Arena,105,121
2024-01-06,Philadelphia 76ers,Utah Jazz,PHI,UTA,Wells Fargo Center,109,120
2024-01-06,Houston Rockets,Milwaukee Bucks,HOU,MIL,Toyota Center,112,108
2024-01-07,Cleveland Cavaliers,San Antonio Spurs,CLE,SAS,Rocket Mortgage FieldHouse,117,115
2024-01-07,Brooklyn Nets,Portland Trail Blazers,BKN,POR,Barclays Center,127,134
2024-01-07,Orlando Magic,Atlanta Hawks,ORL,ATL,Kia Center,117,110
2024-01-07,Sacramento Kings,New Orleans Pelicans,SAC,NOP,Golden 1 Center,100,133
2024-01-07,Dallas Mavericks,Minnesota Timberwolves,DAL,MIN,American Airlines Center,115,108
2024-01-07,Denver Nuggets,Detroit Pistons,DEN,DET,Ball Arena,131,114
2024-01-07,Phoenix Suns,Memphis Grizzlies,PHX,MEM,Footprint Center,115,121
2024-01-07,Golden State Warriors,Toronto Raptors,GSW,TOR,Chase Center,118,133
2024-01-07,Los Angeles Lakers,LA Clippers,LAL,LAC,Crypto.com Arena,106,103
2024-01-08,Charlotte Hornets,Chicago Bulls,CHA,CHI,Spectrum Center,112,119
2024-01-08,Indiana Pacers,Boston Celtics,IND,BOS,Gainbridge Fieldhouse,133,131
2024-01-08,Washington Wizards,Oklahoma City Thunder,WAS,OKC,Capital One Arena,128,136
2024-01-08,Miami Heat,Houston Rockets,MIA,HOU,Kaseya Center,120,113
2024-01-08,Milwaukee Bucks,Utah Jazz,MIL,UTA,Fiserv Forum,116,132
2024-01-08,LA Clippers,Phoenix Suns,LAC,PHX,Crypto.com Arena,138,111
2024-01-09,Detroit Pistons,Sacramento Kings,DET,SAC,Little Caesars Arena,110,131
2024-01-09,Orlando Magic,Minnesota Timberwolves,ORL,MIN,Kia Center,92,113
2024-01-09,New York Knicks,Portland Trail Blazers,NYK,POR,Madison Square Garden,112,84
2024-01-09,Dallas Mavericks,Memphis Grizzlies,DAL,MEM,American Airlines Center,103,120
2024-01-09,Los Angeles Lakers,Toronto Raptors,LAL,TOR,Crypto.com Arena,132,131
2024-01-10,Boston Celtics,Minnesota Timberwolves,BOS,MIN,TD Garden,127,120
2024-01-10,Charlotte Hornets,Sacramento Kings,CHA,SAC,Spectrum Center,98,123
2024-01-10,Detroit Pistons,San Antonio Spurs,DET,SAS,Little Caesars Arena,108,130
2024-01-10,Indiana Pacers,Washington Wizards,IND,WAS,Gainbridge Fieldhouse,112,104
2024-01-10,Atlanta Hawks,Philadelphia 76ers,ATL,PHI,State Farm Arena,139,132
2024-01-10,Miami Heat,Oklahoma City Thunder,MIA,OKC,Kaseya Center,120,128
2024-01-10,Chicago Bulls,Houston Rockets,CHI,HOU,United Center,124,119
2024-01-10,Golden State Warriors,New Orleans Pelicans,GSW,NOP,Chase Center,105,141
2024-01-10,Utah Jazz,Denver Nuggets,UTA,DEN,Delta Center,124,111
2024-01-10,LA Clippers,Toronto Raptors,LAC,TOR,Crypto.com Arena,126,120
2024-01-11,Cleveland Cavaliers,Brooklyn Nets,CLE,BKN,Accor Arena,111,102
2024-01-11,Milwaukee Bucks,Boston Celtics,MIL,BOS,Fiserv Forum,135,102
2024-01-11,Oklahoma City Thunder,Portland Trail Blazers,OKC,POR,Paycom Center,139,77
2024-01-11,Dallas Mavericks,New York Knicks,DAL,NYK,American Airlines Center,128,124
2024-01-11,Los Angeles Lakers,Phoenix Suns,LAL,PHX,Crypto.com Arena,109,127
2024-01-12,Philadelphia 76ers,Sacramento Kings,PHI,SAC,Wells Fargo Center,112,93
2024-01-12,Atlanta Hawks,Indiana Pacers,ATL,IND,State Farm Arena,108,126
2024-01-12,Detroit Pistons,Houston Rockets,DET,HOU,Little Caesars Arena,110,112
2024-01-12,Miami Heat,Orlando Magic,MIA,ORL,Kaseya Center,99,96
2024-01-12,Chicago Bulls,Golden State Warriors,CHI,GSW,United Center,131,140
2024-01-12,Memphis Grizzlies,LA Clippers,MEM,LAC,FedExForum,119,128
2024-01-12,Minnesota Timberwolves,Portland Trail Blazers,MIN,POR,Target Center,116,93
2024-01-12,San Antonio Spurs,Charlotte Hornets,SAS,CHA,Frost Bank Center,135,99
2024-01-12,Utah Jazz,Toronto Raptors,UTA,TOR,Delta Center,145,113
2024-01-12,Denver Nuggets,New Orleans Pelicans,DEN,NOP,Ball Arena,125,113
2024-01-13,Boston Celtics,Houston Rockets,BOS,HOU,TD Garden,145,113
2024-01-13,Atlanta Hawks,Washington Wizards,ATL,WAS,State Farm Arena,99,127
2024-01-13,Memphis Grizzlies,New York Knicks,MEM,NYK,FedExForum,94,106
2024-01-13,Milwaukee Bucks,Golden State Warriors,MIL,GSW,Fiserv Forum,129,118
2024-01-13,Oklahoma City Thunder,Orlando Magic,OKC,ORL,Paycom Center,112,100
2024-01-13,Dallas Mavericks,New Orleans Pelicans,DAL,NOP,American Airlines Center,108,118
2024-01-13,San Antonio Spurs,Chicago Bulls,SAS,CHI,Frost Bank Center,116,122
2024-01-13,Utah Jazz,Los Angeles Lakers,UTA,LAL,Delta Center,132,125
2024-01-14,Denver Nuggets,Indiana Pacers,DEN,IND,Ball Arena,117,109
2024-01-14,Miami Heat,Charlotte Hornets,MIA,CHA,Kaseya Center,104,87
2024-01-14,Milwaukee Bucks,Sacramento Kings,MIL,SAC,Fiserv Forum,143,142
2024-01-14,Minnesota Timberwolves,LA Clippers,MIN,LAC,Target Center,109,105
2024-01-14,Portland Trail Blazers,Phoenix Suns,POR,PHX,Moda Center,116,127
2024-01-15,Philadelphia 76ers,Houston Rockets,PHI,HOU,Wells Fargo Center,124,115
2024-01-15,Dallas Mavericks,New Orleans Pelicans,DAL,NOP,American Airlines Center,125,120
2024-01-15,New York Knicks,Orlando Magic,NYK,ORL,Madison Square Garden,94,98
2024-01-15,Washington Wizards,Detroit Pistons,WAS,DET,Capital One Arena,117,129
2024-01-15,Atlanta Hawks,San Antonio Spurs,ATL,SAS,State Farm Arena,109,99
2024-01-15,Memphis Grizzlies,Golden State Warriors,MEM,GSW,FedExForum,116,107
2024-01-15,Cleveland Cavaliers,Chicago Bulls,CLE,CHI,Rocket Mortgage FieldHouse,109,91
2024-01-15,Brooklyn Nets,Miami Heat,BKN,MIA,Barclays Center,95,96
2024-01-15,Toronto Raptors,Boston Celtics,TOR,BOS,Scotiabank Arena,96,105
2024-01-15,Utah Jazz,Indiana Pacers,UTA,IND,Delta Center,132,105
2024-01-15,Los Angeles Lakers,Oklahoma City Thunder,LAL,OKC,Crypto.com Arena,112,105
2024-01-16,Philadelphia 76ers,Denver Nuggets,PHI,DEN,Wells Fargo Center,126,121
2024-01-16,Phoenix Suns,Sacramento Kings,PHX,SAC,Footprint Center,119,117
2024-01-16,LA Clippers,Oklahoma City Thunder,LAC,OKC,Crypto.com Arena,128,117
2024-01-17,Detroit Pistons,Minnesota Timberwolves,DET,MIN,Little Caesars Arena,117,124
2024-01-17,Atlanta Hawks,Orlando Magic,ATL,ORL,State Farm Arena,106,104
2024-01-17,Boston Celtics,San Antonio Spurs,BOS,SAS,TD Garden,117,98
2024-01-17,Cleveland Cavaliers,Milwaukee Bucks,CLE,MIL,Rocket Mortgage FieldHouse,135,95
2024-01-17,New York Knicks,Houston Rockets,NYK,HOU,Madison Square Garden,109,94
2024-01-17,Toronto Raptors,Miami Heat,TOR,MIA,Scotiabank Arena,121,97
2024-01-17,New Orleans Pelicans,Charlotte Hornets,NOP,CHA,Smoothie King Center,132,112
2024-01-17,Los Angeles Lakers,Dallas Mavericks,LAL,DAL,Crypto.com Arena,127,110
2024-01-17,Portland Trail Blazers,Brooklyn Nets,POR,BKN,Moda Center,105,103
2024-01-18,New York Knicks,Washington Wizards,NYK,WAS,Madison Square Garden,113,109
2024-01-18,Toronto Raptors,Chicago Bulls,TOR,CHI,Scotiabank Arena,110,116
2024-01-18,Utah Jazz,Oklahoma City Thunder,UTA,OKC,Delta Center,129,134
2024-01-18,Minnesota Timberwolves,Memphis Grizzlies,MIN,MEM,Target Center,118,103
2024-01-18,Sacramento Kings,Indiana Pacers,SAC,IND,Golden 1 Center,121,126
2024-01-19,Charlotte Hornets,San Antonio Spurs,CHA,SAS,Spectrum Center,124,120
2024-01-19,Orlando Magic,Philadelphia 76ers,ORL,PHI,Kia Center,109,124
2024-01-19,Boston Celtics,Denver Nuggets,BOS,DEN,TD Garden,100,102
2024-01-19,Miami Heat,Atlanta Hawks,MIA,ATL,Kaseya Center,108,109
2024-01-19,New Orleans Pelicans,Phoenix Suns,NOP,PHX,Smoothie King Center,109,123
2024-01-19,Portland Trail Blazers,Indiana Pacers,POR,IND,Moda Center,118,115
2024-01-19,Los Angeles Lakers,Brooklyn Nets,LAL,BKN,Crypto.com Arena,112,130
2024-01-20,Detroit Pistons,Milwaukee Bucks,DET,MIL,Little Caesars Arena,135,141
2024-01-20,Charlotte Hornets,Philadelphia 76ers,CHA,PHI,Spectrum Center,89,97
2024-01-20,Washington Wizards,San Antonio Spurs,WAS,SAS,Capital One Arena,127,131
2024-01-20,Atlanta Hawks,Cleveland Cavaliers,ATL,CLE,State Farm Arena,95,116
2024-01-20,New York Knicks,Toronto Raptors,NYK,TOR,Madison Square Garden,126,100
2024-01-20,Chicago Bulls,Memphis Grizzlies,CHI,MEM,United Center,125,96
2024-01-20,Houston Rockets,Utah Jazz,HOU,UTA,Toyota Center,127,126
2024-01-20,Minnesota Timberwolves,Oklahoma City Thunder,MIN,OKC,Target Center,97,102
2024-01-21,LA Clippers,Brooklyn Nets,LAC,BKN,Crypto.com Arena,125,114
2024-01-21,Orlando Magic,Miami Heat,ORL,MIA,Kia Center,105,87
2024-01-21,Washington Wizards,Denver Nuggets,WAS,DEN,Capital One Arena,104,113
2024-01-21,Houston Rockets,Boston Celtics,HOU,BOS,Toyota Center,107,116
2024-01-21,Phoenix Suns,Indiana Pacers,PHX,IND,Footprint Center,117,110
2024-01-21,Los Angeles Lakers,Portland Trail Blazers,LAL,POR,Crypto.com Arena,134,110
2024-01-22,Detroit Pistons,Milwaukee Bucks,DET,MIL,Little Caesars Arena,113,122
2024-01-22,Orlando Magic,Cleveland Cavaliers,ORL,CLE,Kia Center,99,126
2024-01-22,Philadelphia 76ers,San Antonio Spurs,PHI,SAS,Wells Fargo Center,133,123
2024-01-22,Toronto Raptors,Memphis Grizzlies,TOR,MEM,Scotiabank Arena,100,108
2024-01-22,Minnesota Timberwolves,Charlotte Hornets,MIN,CHA,Target Center,125,128
2024-01-22,Dallas Mavericks,Boston Celtics,DAL,BOS,American Airlines Center,110,119
2024-01-22,Phoenix Suns,Chicago Bulls,PHX,CHI,Footprint Center,115,113
2024-01-22,Sacramento Kings,Atlanta Hawks,SAC,ATL,Golden 1 Center,122,107
2024-01-23,Indiana Pacers,Denver Nuggets,IND,DEN,Gainbridge Fieldhouse,109,114
2024-01-23,Brooklyn Nets,New York Knicks,BKN,NYK,Barclays Center,103,108
2024-01-23,New Orleans Pelicans,Utah Jazz,NOP,UTA,Smoothie King Center,153,124
2024-01-23,Oklahoma City Thunder,Portland Trail Blazers,OKC,POR,Paycom Center,111,109
2024-01-23,LA Clippers,Los Angeles Lakers,LAC,LAL,Crypto.com Arena,127,116
2024-01-24,Detroit Pistons,Charlotte Hornets,DET,CHA,Little Caesars Arena,113,106
2024-01-24,Washington Wizards,Minnesota Timberwolves,WAS,MIN,Capital One Arena,107,118
2024-01-24,Miami Heat,Memphis Grizzlies,MIA,MEM,Kaseya Center,96,105
2024-01-24,Houston Rockets,Portland Trail Blazers,HOU,POR,Toyota Center,131,137
2024-01-24,Milwaukee Bucks,Cleveland Cavaliers,MIL,CLE,Fiserv Forum,126,116
2024-01-24,Dallas Mavericks,Phoenix Suns,DAL,PHX,American Airlines Center,109,132
2024-01-24,San Antonio Spurs,Oklahoma City Thunder,SAS,OKC,Frost Bank Center,114,140
2024-01-24,Golden State Warriors,Atlanta Hawks,GSW,ATL,Chase Center,134,112
2024-01-25,Indiana Pacers,Philadelphia 76ers,IND,PHI,Gainbridge Fieldhouse,134,122
2024-01-25,Washington Wizards,Utah Jazz,WAS,UTA,Capital One Arena,108,123
2024-01-25,Brooklyn Nets,Minnesota Timberwolves,BKN,MIN,Barclays Center,94,96
2024-01-25,Miami Heat,Boston Celtics,MIA,BOS,Kaseya Center,110,143
2024-01-25,New York Knicks,Denver Nuggets,NYK,DEN,Madison Square Garden,122,84
2024-01-25,Golden State Warriors,Sacramento Kings,GSW,SAC,Chase Center,133,134
2024-01-25,Los Angeles Lakers,Chicago Bulls,LAL,CHI,Crypto.com Arena,141,132
2024-01-26,Atlanta Hawks,Dallas Mavericks,ATL,DAL,State Farm Arena,143,148
2024-01-26,Charlotte Hornets,Houston Rockets,CHA,HOU,Spectrum Center,104,138
2024-01-26,Indiana Pacers,Phoenix Suns,IND,PHX,Gainbridge Fieldhouse,133,131
2024-01-26,Toronto Raptors,LA Clippers,TOR,LAC,Scotiabank Arena,107,127
2024-01-26,Memphis Grizzlies,Orlando Magic,MEM,ORL,FedExForum,107,106
2024-01-26,Milwaukee Bucks,Cleveland Cavaliers,MIL,CLE,Fiserv Forum,100,112
2024-01-26,New Orleans Pelicans,Oklahoma City Thunder,NOP,OKC,Smoothie King Center,83,107
2024-01-26,San Antonio Spurs,Portland Trail Blazers,SAS,POR,Frost Bank Center,116,100
2024-01-27,Detroit Pistons,Washington Wizards,DET,WAS,Little Caesars Arena,104,118
2024-01-27,New York Knicks,Miami Heat,NYK,MIA,Madison Square Garden,125,109
2024-01-27,Denver Nuggets,Philadelphia 76ers,DEN,PHI,Ball Arena,111,105
2024-01-27,Brooklyn Nets,Houston Rockets,BKN,HOU,Barclays Center,106,104
2024-01-27,Boston Celtics,LA Clippers,BOS,LAC,TD Garden,96,115
2024-01-27,Charlotte Hornets,Utah Jazz,CHA,UTA,Spectrum Center,122,134
2024-01-27,Milwaukee Bucks,New Orleans Pelicans,MIL,NOP,Fiserv Forum,141,117
2024-01-27,San Antonio Spurs,Minnesota Timberwolves,SAS,MIN,Frost Bank Center,113,112
2024-01-27,Golden State Warriors,Los Angeles Lakers,GSW,LAL,Chase Center,144,145
2024-01-27,Dallas Mavericks,Sacramento Kings,DAL,SAC,American Airlines Center,115,120
2024-01-28,Detroit Pistons,Oklahoma City Thunder,DET,OKC,Little Caesars Arena,120,104
2024-01-28,Indiana Pacers,Memphis Grizzlies,IND,MEM,Gainbridge Fieldhouse,116,110
2024-01-28,Atlanta Hawks,Toronto Raptors,ATL,TOR,State Farm Arena,126,125
2024-01-28,Orlando Magic,Phoenix Suns,ORL,PHX,Kia Center,113,98
2024-01-28,Portland Trail Blazers,Chicago Bulls,POR,CHI,Moda Center,96,104
2024-01-29,Charlotte Hornets,New York Knicks,CHA,NYK,Spectrum Center,92,113
2024-01-29,Cleveland Cavaliers,LA Clippers,CLE,LAC,Rocket Mortgage FieldHouse,118,108
2024-01-29,Boston Celtics,New Orleans Pelicans,BOS,NOP,TD Garden,118,112
2024-01-29,Brooklyn Nets,Utah Jazz,BKN,UTA,Barclays Center,147,114
2024-01-29,Miami Heat,Phoenix Suns,MIA,PHX,Kaseya Center,105,118
2024-01-29,Houston Rockets,Los Angeles Lakers,HOU,LAL,Toyota Center,135,119
2024-01-29,Memphis Grizzlies,Sacramento Kings,MEM,SAC,FedExForum,94,103
2024-01-29,Oklahoma City Thunder,Minnesota Timberwolves,OKC,MIN,Paycom Center,101,107
2024-01-29,San Antonio Spurs,Washington Wizards,SAS,WAS,Frost Bank Center,113,118
2024-01-29,Dallas Mavericks,Orlando Magic,DAL,ORL,American Airlines Center,131,129
2024-01-29,Denver Nuggets,Milwaukee Bucks,DEN,MIL,Ball Arena,113,107
2024-01-29,Portland Trail Blazers,Philadelphia 76ers,POR,PHI,Moda Center,130,104
2024-01-30,Atlanta Hawks,Los Angeles Lakers,ATL,LAL,State Farm Arena,138,122
2024-01-30,Boston Celtics,Indiana Pacers,BOS,IND,TD Garden,129,124
2024-01-30,New York Knicks,Utah Jazz,NYK,UTA,Madison Square Garden,118,103
2024-01-30,Chicago Bulls,Toronto Raptors,CHI,TOR,United Center,107,118
2024-01-30,Golden State Warriors,Philadelphia 76ers,GSW,PHI,Chase Center,119,107
2024-01-31,Charlotte Hornets,Chicago Bulls,CHA,CHI,Spectrum Center,110,117
2024-01-31,Cleveland Cavaliers,Detroit Pistons,CLE,DET,Rocket Mortgage FieldHouse,128,121
2024-01-31,Washington Wizards,LA Clippers,WAS,LAC,Capital One Arena,109,125
2024-01-31,Miami Heat,Sacramento Kings,MIA,SAC,Kaseya Center,115,106
2024-01-31,Houston Rockets,New Orleans Pelicans,HOU,NOP,Toyota Center,99,110
2024-01-31,Minnesota Timberwolves,Dallas Mavericks,MIN,DAL,Target Center,121,87
2024-01-31,San Antonio Spurs,Orlando Magic,SAS,ORL,Frost Bank Center,98,108
2024-01-31,Oklahoma City Thunder,Denver Nuggets,OKC,DEN,Paycom Center,105,100
2024-01-31,Brooklyn Nets,Phoenix Suns,BKN,PHX,Barclays Center,120,136
2024-01-31,Portland Trail Blazers,Milwaukee Bucks,POR,MIL,Moda Center,119,116
2024-02-01,Boston Celtics,Los Angeles Lakers,BOS,LAL,TD Garden,105,114
2024-02-01,New York Knicks,Indiana Pacers,NYK,IND,Madison Square Garden,109,105
2024-02-01,Memphis Grizzlies,Cleveland Cavaliers,MEM,CLE,FedExForum,101,108
2024-02-01,Utah Jazz,Philadelphia 76ers,UTA,PHI,Delta Center,124,127
2024-02-02,Detroit Pistons,LA Clippers,DET,LAC,Little Caesars Arena,125,136
2024-02-02,Washington Wizards,Miami Heat,WAS,MIA,Capital One Arena,102,110
2024-02-02,Atlanta Hawks,Phoenix Suns,ATL,PHX,State Farm Arena,129,120
2024-02-02,Indiana Pacers,Sacramento Kings,IND,SAC,Gainbridge Fieldhouse,122,133
2024-02-02,Houston Rockets,Toronto Raptors,HOU,TOR,Toyota Center,135,106
2024-02-02,Memphis Grizzlies,Golden State Warriors,MEM,GSW,FedExForum,101,121
2024-02-02,Minnesota Timberwolves,Orlando Magic,MIN,ORL,Target Center,106,108
2024-02-02,Oklahoma City Thunder,Charlotte Hornets,OKC,CHA,Paycom Center,126,106
2024-02-02,San Antonio Spurs,New Orleans Pelicans,SAS,NOP,Frost Bank Center,113,114
2024-02-02,Denver Nuggets,Portland Trail Blazers,DEN,POR,Ball Arena,120,108
2024-02-03,Philadelphia 76ers,Brooklyn Nets,PHI,BKN,Wells Fargo Center,121,136
2024-02-03,Atlanta Hawks,Golden State Warriors,ATL,GSW,State Farm Arena,141,134
2024-02-03,Chicago Bulls,Sacramento Kings,CHI,SAC,United Center,115,123
2024-02-03,New York Knicks,Los Angeles Lakers,NYK,LAL,Madison Square Garden,105,113
2024-02-03,Dallas Mavericks,Milwaukee Bucks,DAL,MIL,American Airlines Center,117,129
2024-02-03,San Antonio Spurs,Cleveland Cavaliers,SAS,CLE,Frost Bank Center,101,117
2024-02-04,Detroit Pistons,Orlando Magic,DET,ORL,Little Caesars Arena,99,111
2024-02-04,Washington Wizards,Phoenix Suns,WAS,PHX,Capital One Arena,112,140
2024-02-04,Boston Celtics,Memphis Grizzlies,BOS,MEM,TD Garden,131,91
2024-02-04,Charlotte Hornets,Indiana Pacers,CHA,IND,Spectrum Center,99,115
2024-02-04,Miami Heat,LA Clippers,MIA,LAC,Kaseya Center,95,103
2024-02-04,Minnesota Timberwolves,Houston Rockets,MIN,HOU,Target Center,111,90
2024-02-04,Oklahoma City Thunder,Toronto Raptors,OKC,TOR,Paycom Center,135,127
2024-02-04,Utah Jazz,Milwaukee Bucks,UTA,MIL,Delta Center,123,108
2024-02-04,Denver Nuggets,Portland Trail Blazers,DEN,POR,Ball Arena,112,103
2024-02-05,Charlotte Hornets,Los Angeles Lakers,CHA,LAL,Spectrum Center,118,124
2024-02-05,Cleveland Cavaliers,Sacramento Kings,CLE,SAC,Rocket Mortgage FieldHouse,136,110
2024-02-05,Philadelphia 76ers,Dallas Mavericks,PHI,DAL,Wells Fargo Center,102,118
2024-02-05,Atlanta Hawks,LA Clippers,ATL,LAC,State Farm Arena,144,149
2024-02-05,Brooklyn Nets,Golden State Warriors,BKN,GSW,Barclays Center,98,109
2024-02-05,New Orleans Pelicans,Toronto Raptors,NOP,TOR,Smoothie King Center,138,100
2024-02-06,Indiana Pacers,Houston Rockets,IND,HOU,Gainbridge Fieldhouse,132,129
2024-02-06,Brooklyn Nets,Dallas Mavericks,BKN,DAL,Barclays Center,107,119
2024-02-06,Miami Heat,Orlando Magic,MIA,ORL,Kaseya Center,121,95
2024-02-06,New York Knicks,Memphis Grizzlies,NYK,MEM,Madison Square Garden,123,113
2024-02-06,Chicago Bulls,Minnesota Timberwolves,CHI,MIN,United Center,129,123
2024-02-06,Utah Jazz,Oklahoma City Thunder,UTA,OKC,Delta Center,124,117
2024-02-06,Phoenix Suns,Milwaukee Bucks,PHX,MIL,Footprint Center,114,106
2024-02-07,Charlotte Hornets,Toronto Raptors,CHA,TOR,Spectrum Center,117,123
2024-02-07,Washington Wizards,Cleveland Cavaliers,WAS,CLE,Capital One Arena,106,114
2024-02-07,Philadelphia 76ers,Golden State Warriors,PHI,GSW,Wells Fargo Center,104,127
2024-02-07,Boston Celtics,Atlanta Hawks,BOS,ATL,TD Garden,125,117
2024-02-07,Miami Heat,San Antonio Spurs,MIA,SAS,Kaseya Center,116,104
2024-02-07,LA Clippers,New Orleans Pelicans,LAC,NOP,Crypto.com Arena,106,117
2024-02-07,Sacramento Kings,Detroit Pistons,SAC,DET,Golden 1 Center,120,133
2024-02-08,Indiana Pacers,Golden State Warriors,IND,GSW,Gainbridge Fieldhouse,109,131
2024-02-08,Orlando Magic,San Antonio Spurs,ORL,SAS,Kia Center,127,111
2024-02-08,Brooklyn Nets,Cleveland Cavaliers,BKN,CLE,Barclays Center,95,118
2024-02-08,New York Knicks,Dallas Mavericks,NYK,DAL,Madison Square Garden,108,122
2024-02-08,Memphis Grizzlies,Chicago Bulls,MEM,CHI,FedExForum,110,118
2024-02-08,Milwaukee Bucks,Minnesota Timberwolves,MIL,MIN,Fiserv Forum,105,129
2024-02-08,Phoenix Suns,Utah Jazz,PHX,UTA,Footprint Center,129,115
2024-02-08,Los Angeles Lakers,Denver Nuggets,LAL,DEN,Crypto.com Arena,106,114
2024-02-08,Portland Trail Blazers,Detroit Pistons,POR,DET,Moda Center,122,128
2024-02-09,Philadelphia 76ers,Atlanta Hawks,PHI,ATL,Wells Fargo Center,121,127
2024-02-09,Boston Celtics,Washington Wizards,BOS,WAS,TD Garden,133,129
2024-02-09,Toronto Raptors,Houston Rockets,TOR,HOU,Scotiabank Arena,107,104
2024-02-09,Milwaukee Bucks,Charlotte Hornets,MIL,CHA,Fiserv Forum,120,84
2024-02-09,Sacramento Kings,Denver Nuggets,SAC,DEN,Golden 1 Center,135,106
2024-02-09,Los Angeles Lakers,New Orleans Pelicans,LAL,NOP,Crypto.com Arena,139,122
2024-02-10,Dallas Mavericks,Oklahoma City Thunder,DAL,OKC,American Airlines Center,146,111
2024-02-10,LA Clippers,Detroit Pistons,LAC,DET,Crypto.com Arena,112,106
2024-02-10,Brooklyn Nets,San Antonio Spurs,BKN,SAS,Barclays Center,123,103
2024-02-10,Charlotte Hornets,Memphis Grizzlies,CHA,MEM,Spectrum Center,115,106
2024-02-10,Orlando Magic,Chicago Bulls,ORL,CHI,Kia Center,114,108
2024-02-10,Washington Wizards,Philadelphia 76ers,WAS,PHI,Capital One Arena,113,119
2024-02-10,Atlanta Hawks,Houston Rockets,ATL,HOU,State Farm Arena,122,113
